Unnamed: 0,id,age,gender,income,days_on_platform,city,purchases
0,0,30.20203602192639,Male,126895,14.0,San Francisco,0
1,1,30.20203602192639,Male,161474,14.0,Tokyo,0
2,2,24.0,Male,104723,34.0,London,1
4,4,18.0,Female,132181,26.0,London,2
6,6,30.20203602192639,Male,51679,30.0,Tokyo,0
7,7,30.20203602192639,Female,53341,43.0,San Francisco,1
8,8,46.0,Male,129157,23.0,New York City,0
9,9,49.0,Female,76842,19.0,Tokyo,2
10,10,30.20203602192639,Male,159506,7.0,New York City,0
11,11,30.20203602192639,Male,110343,30.0,San Francisco,1
12,12,12.0,Male,130521,12.0,London,1
13,13,30.20203602192639,Male,105418,13.0,Miami,0
14,14,30.20203602192639,Male,95060,7.0,Tokyo,1
15,15,31.0,Female,226249,20.0,Miami,0
16,16,19.0,Female,51434,18.0,New York City,0
17,17,27.0,Female,177582,2.0,London,0
21,21,30.20203602192639,Male,67623,40.0,New York City,0
23,23,10.0,Female,108804,5.0,Tokyo,2
25,25,46.0,Female,112992,9.0,London,3
29,29,43.0,Male,70598,15.0,London,2
32,32,16.0,Male,92621,4.0,New York City,0
34,34,31.0,Male,89058,8.0,New York City,1
36,36,46.0,Male,58738,52.0,San Francisco,1
37,37,30.20203602192639,Male,111270,24.389997941963365,San Francisco,0
40,40,31.0,Male,138533,20.0,New York City,3
42,42,30.20203602192639,Male,51178,9.0,London,1
43,43,30.20203602192639,Male,52145,79.0,London,0
45,45,30.20203602192639,Male,142495,26.0,Miami,0
48,48,36.0,Male,62665,35.0,San Francisco,0
49,49,40.0,Female,107003,44.0,Tokyo,1
50,50,36.0,Male,255965,22.0,Tokyo,1
51,51,42.0,Male,85704,23.0,New York City,4
52,52,30.20203602192639,Female,59313,15.0,New York City,0
53,53,47.0,Female,95797,29.0,San Francisco,0
54,54,13.0,Male,229581,50.0,Miami,1
55,55,49.0,Female,114434,2.0,London,1
56,56,30.20203602192639,Male,53427,59.0,Miami,3
57,57,19.0,Male,97559,24.389997941963365,Tokyo,2
60,60,30.20203602192639,Female,177953,71.0,Miami,0
61,61,30.20203602192639,Male,72545,29.0,New York City,0
62,62,27.0,Female,76525,30.0,Tokyo,0
63,63,11.0,Male,115977,37.0,Tokyo,1
64,64,12.0,Male,55581,2.0,Miami,0
66,66,13.0,Male,181514,11.0,San Francisco,1
67,67,30.20203602192639,Male,148041,12.0,London,4
68,68,30.20203602192639,Female,54724,25.0,Tokyo,0
69,69,30.20203602192639,Male,117191,12.0,Miami,2
71,71,30.20203602192639,Female,76611,8.0,London,0
72,72,30.20203602192639,Male,85827,27.0,San Francisco,0
75,75,20.0,Female,158067,26.0,Miami,0
76,76,30.20203602192639,Female,59422,42.0,London,0
82,82,32.0,Male,128031,63.0,Tokyo,0
83,83,12.0,Female,117244,54.0,New York City,1
84,84,30.20203602192639,Male,163307,12.0,New York City,1
88,88,36.0,Female,101285,36.0,San Francisco,0
90,90,30.20203602192639,Female,162074,55.0,Miami,0
